employee_ref,work_date,clock_in,clock_out,raw_hours,job_code,notes
EMP-001,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:00:00-04:00,8.00,Carpenter,
EMP-001,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:15:00-04:00,8.25,Carpenter,
EMP-001,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:15:00-04:00,8.25,Carpenter,
EMP-001,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T14:45:00-04:00,7.75,Carpenter,
EMP-001,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T14:45:00-04:00,7.75,Carpenter,
EMP-001,2026-08-15,2026-08-15T07:00:00-04:00,2026-08-15T15:30:00-04:00,8.50,Carpenter,"PLANTED ERROR 1: unscheduled Saturday shift, no posted-schedule match — OT baseline breach"
EMP-001,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:00:00-04:00,8.00,Carpenter,
EMP-001,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:00:00-04:00,8.00,Carpenter,
EMP-001,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:15:00-04:00,8.25,Carpenter,
EMP-001,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:00:00-04:00,8.00,Carpenter,
EMP-001,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:00:00-04:00,8.00,Carpenter,
EMP-002,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:15:00-04:00,8.25,Laborer,
EMP-002,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:30:00-04:00,8.50,Laborer,
EMP-002,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:15:00-04:00,8.25,Laborer,
EMP-002,2026-08-13,2026-08-13T07:00:00-04:00,,,Laborer,"PLANTED ERROR 2: missing clock-out, raw_hours cannot be computed"
EMP-002,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:15:00-04:00,8.25,Laborer,
EMP-002,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:45:00-04:00,8.75,Laborer,
EMP-002,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:15:00-04:00,8.25,Laborer,
EMP-002,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:30:00-04:00,8.50,Laborer,
EMP-002,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:15:00-04:00,8.25,Laborer,
EMP-002,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:15:00-04:00,8.25,Laborer,
EMP-003,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:00:00-04:00,8.00,Apprentice Laborer,
